"","Abudefduf abdominalis","Abudefduf sordidus","Acanthurus thompsoni","Actinopterygii","Anampses cuvier","Anthozoa","Apogon erythrinus","Apolemichthys arcuatus","Arachnida","Arothron hispidus","Arothron meleagris","Asteroidea","Atherinomorus insularum","Aulostomus chinensis","Benthic autotroph","Bivalvia","Brotula multibarbata","Bryozoa","Cantherhines dumerilii","Cantherhines sandwichiensis","Canthigaster amboinensis","Canthigaster jactator","Caranx melampygus","Centropyge potteri","Cephalopholis argus","Cephalopoda","Chaetodon auriga","Chaetodon fremblii","Chaetodon kleinii","Chaetodon lunula","Chaetodon miliaris","Chaetodon multicinctus","Chaetodon ornatissimus","Chaetodon quadrimaculatus","Chaetodon unimaculatus","Chlorurus sordidus","Chromis leucura","Chromis vanderbilti","Chromis verater","Cirrhitops fasciatus","Cirrhitus pinnulatus","Cirripedia","Coralline algae","Coris gaimard","Cyanobacteria","Dascyllus albisella","Decapoda sp1 FW_017","Detritus","Diodon holocanthus","Diodon hystrix","Echinoidea","Exallias brevis","Fistularia petimba","Foraminifera sp1 FW_017","Forcipiger flavissimus","Forcipiger longirostris","Gastropoda","Gomphosus varius","Gymnomuraena zebra","Gymnothorax meleagris","Halichoeres ornatissimus","Hemitaurichthys thompsoni","Hemitaurichthys zoster","Heteropriacanthus cruentatus","Holothuroidea","Inorganic","Insecta","Kyphosus cinerascens","Macropharyngodon geoffroy","Medusozoa","Melichthys niger","Monotaxis grandoculis","Mulloidichthys flavolineatus","Myripristis amaena","Myripristis kuntee","Myripristis murdjan","Naso hexacanthus","Neoniphon sammara","Ophiuroidea sp1 FW_017","Ostracion meleagris","Oxycheilinus orientalis","Paracirrhites arcatus","Paracirrhites forsteri","Parupeneus cyclostomus","Parupeneus forsskali","Parupeneus multifasciatus","Parupeneus porphyreus","Parupeneus trifasciatus","Pervagor spilosoma","Phytoplankton","Plectroglyphidodon imparipennis","Plectroglyphidodon johnstonianus","Plectroglyphidodon sindonis","Plectrypops lima","Polyplacophora","Porifera","Pristiapogon kallopterus","Pristiapogon taeniopterus","Pseudocheilinus octotaenia","Pterois sphex","Pycnogonida","Rhinecanthus rectangulus","Sargocentron diadema","Sargocentron punctatissimum","Sargocentron tiere","Sargocentron xantherythrum","Scorpaenopsis cacopsis","Sebastapistes coniorta","Stegastes fasciolatus","Stethojulis balteata","Stomatopoda","Sufflamen bursa","Synodus variegatus","Thalassoma duperrey","Thalassoma trilobatum","Tunicata","Worm","Xanthichthys ringens","Zanclus cornutus","Zooplankton"
"Arothron meleagris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteroidea",0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atherinomorus insularum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aulostomus chinensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",0.2,0.17,0,0,0.14,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.17,0.15,0.13,0,0.24,0,0,0.12,0.38,0,0.11,0,0.22,0.5,0.19,0.26,0.33,0.18,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0.33,0,0,0.06,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0.22,0,0.24,0.06,0,0,0,0,0.08,0,0,0.17,0,0,0,0,0.03,0,0,0,0.14,0,0.08,0.3,0.26,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0.32,0,0,0.09,0,0.21,0,0,0,0,0.18,0
"Bivalvia",0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.11,0.05,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.13,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0.08,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0.06,0,0,0.02,0,0,0.12,0,0.08,0,0,0,0,0.12,0
"Brotula multibarbata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryozoa",0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.05,0.04,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.12,0
"Cantherhines dumerilii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cantherhines sandwichiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
